rank_by_demand,GEOHASH,mean_speed,peak_hour_vehicle_count,total_vehicle_count,lat,lon,veh_mean,veh_std,mean_daily_vehicle_count,cv,consistency,vol_norm,speed_norm,cons_norm,demand_score,nearest_station_km,dist_norm,underserved_score
1,sxk9vb,54.61309523809524,985,79395,41.0916137695313,29.0863037109375,472.5892857142857,249.68361609843316,11342.142857142857,0.5283310977321999,0.654308481639771,0.9999999999999999,0.4158833014285423,0.4149477824417715,0.7582245660597915,0.4908630170719238,0.00668895706524018,0.6079174442608812
2,sxk9ub,61.36904761904762,909,69174,41.0916137695313,29.0423583984375,411.75,208.1738607208531,9882.0,0.5055831468618033,0.6641944698201311,0.8712525822542448,0.4815501450179434,0.4316789401372009,0.6774970356491796,2.0851779004309896,0.0293899564001593,0.5478756197993756
3,sxk9ku,37.232142857142854,876,57254,41.0256958007813,29.0423583984375,340.79761904761904,180.54825219741846,8179.142857142857,0.5297814365647343,0.6536881518484055,0.7211039451806317,0.24694305184171295,0.4138979293190328,0.6692486429016085,0.29642468588772225,0.003920404583565047,0.5361829952379998
4,sxk9s5,38.732142857142854,778,53333,41.0641479492188,29.0093994140625,317.4583333333333,144.35986529705147,7619.0,0.45473641778689095,0.6874097518788406,0.671713609109689,0.26152282680605576,0.4709687448569543,0.6515937054844186,0.3332171937091741,0.004444282710967987,0.5221638209297286
5,sxk9u8,58.339285714285715,840,62566,41.0916137695313,29.0313720703125,372.4166666666667,184.37317068343825,8938.0,0.4950722864612482,0.6688639800600836,0.7880158210308862,0.4521013138399652,0.4395816718378392,0.6462938507310214,1.239707681792331,0.01735154474676477,0.5205053895341701
6,sxk9sh,36.63095238095238,719,50627,41.0696411132813,29.0093994140625,301.3511904761905,141.89019706282164,7232.428571428572,0.4708466451987069,0.6798805322528394,0.6376278530760315,0.24109957060600415,0.45822620879602627,0.6381292971154198,0.3804651334494282,0.005117032780490009,0.5115268442484339
7,sxk9v0,69.71428571428571,756,62832,41.0916137695313,29.0533447265625,374.0,174.7020388982612,8976.0,0.4671177510636206,0.6816085479676236,0.7913664533682672,0.5626646073195648,0.4611507220461707,0.6191139888974984,1.9458963275698802,0.027406765422085463,0.5007725442024158
8,sxk9v8,66.97619047619048,734,61223,41.0916137695313,29.0753173828125,364.42261904761904,181.03923209396177,8746.142857142857,0.49678374126883884,0.6680991865613731,0.7710989066357634,0.5360507323846534,0.4382873267103804,0.6123916989445618,0.3909239687829439,0.005265953182869956,0.4909665497922235
9,sxk9v2,69.82738095238095,689,59363,41.0916137695313,29.0643310546875,353.3511904761905,165.50720952804417,8480.42857142857,0.46839295858755003,0.6810166135377699,0.7476696729984379,0.5637638760668764,0.4601489255529368,0.5967354587897433,1.2104853961645416,0.01693545687508688,0.480775458406812
10,sxk9m5,45.232142857142854,602,45778,41.0202026367188,29.0533447265625,272.48809523809524,131.08140671647266,6539.714285714285,0.4810537010853814,0.6751949637390973,0.5765480929107673,0.3247018516515412,0.45029629989203823,0.5809227509383289,0.4528125660788826,0.006147167440303296,0.4659676342387238
11,sxk9s6,44.95238095238095,615,43815,41.0586547851563,29.0203857421875,260.80357142857144,123.18849093379531,6259.285714285715,0.4723420398675855,0.6791900067527343,0.5518214339698695,0.3219826079081916,0.45705755566553546,0.5707274457455843,0.8436821510601117,0.01171264906586786,0.45892448640964106
12,sxk9ky,48.36309523809524,598,41736,41.0366821289063,29.0423583984375,248.42857142857142,114.07385838486069,5962.285714285715,0.45918171862611307,0.6853156034202142,0.5256335970171814,0.355134239077114,0.4674245844291152,0.5497614436712795,1.513414208211071,0.021248774672326144,0.4440589098714889
13,sxk9sk,40.541666666666664,525,37496,41.0696411132813,29.0203857421875,223.1904761904762,113.41983649235051,5356.571428571428,0.508175072824555,0.6630529956493515,0.4722250214138156,0.27911112676304073,0.4297470963995648,0.5383285919579085,1.206680107864561,0.016881274449727444,0.4340391284562723
14,sxk9kg,28.958333333333332,504,33779,41.0202026367188,29.0423583984375,201.0654761904762,118.35262140141322,4825.571428571428,0.5886272653227902,0.629474277464835,0.42540434322567633,0.16652286453839354,0.3729180957062764,0.5373289313925753,0.325367354062892,0.004332511061308653,0.430729647326322
15,sxk9kz,44.958333333333336,518,36477,41.0421752929688,29.0423583984375,217.125,95.38344848824129,5211.0,0.4393020080036937,0.6947812164779761,0.459389328361969,0.3220404641580501,0.4834442945343683,0.5297713838404432,1.3561025041334045,0.0190088577481875,0.4276188786219921
16,sxk9kv,48.470238095238095,591,39126,41.0311889648438,29.0423583984375,232.89285714285714,112.09966885346854,5589.428571428572,0.48133579633240947,0.6750663843241128,0.492757091751902,0.35617565157456693,0.4500786906425385,0.5295415885320887,0.9033569677851326,0.0125623419269995,0.42614573921107085
17,sxk9s8,51.023809523809526,435,36838,41.0476684570313,29.0313720703125,219.27380952380952,82.09580370882686,5262.571428571428,0.3743985836098598,0.7275909710074777,0.46393661510555745,0.3809959827638648,0.5389718924807197,0.5254638912197632,1.7973992591502415,0.025292357605525898,0.42542958449691576
18,sxk9s3,45.035714285714285,451,34448,41.0531616210938,29.0203857421875,205.04761904761904,82.75791182929294,4921.142857142857,0.403603378636014,0.7124519755515084,0.4338313095178112,0.3227925954062106,0.5133504861323476,0.5227479733635119,1.2078636998068293,0.016898127281106425,0.4215780041470308
19,sxk9s9,50.67261904761905,389,32860,41.0531616210938,29.0313720703125,195.5952380952381,71.89140497253483,4694.285714285715,0.36755191829957706,0.7312336640523356,0.4138282863908903,0.37758246402221324,0.5451368272002087,0.5026667694288229,1.738685611161805,0.024456350554567453,0.4070246856539719
20,sxk9kp,19.166666666666668,213,18589,41.0421752929688,29.0093994140625,110.64880952380952,46.2124927870402,2655.5714285714284,0.41765015805866845,0.7053926487543309,0.23406560185418446,0.07134933352115586,0.5014032019850947,0.4959086412677644,0.4240489712229931,0.005737610736976471,0.3978744351616068
21,sxk8zu,15.5,1,4,40.9378051757813,29.1741943359375,1.0,0.0,1.3333333333333333,0.0,1.0,2.939151173141196e-05,0.03570988360831788,0.9999999999983076,0.48930173067303184,2.5192909003765234,0.03557116879797635,0.3985556182980207
22,sxk9s1,33.57142857142857,315,23397,41.0531616210938,29.0093994140625,139.26785714285714,62.23179321214063,3342.4285714285716,0.4468496499365114,0.6911568178793702,0.2946289111704539,0.2113614581787335,0.47731032154167974,0.4793680824399428,0.9268339974562467,0.01289662472176772,0.3860737908963078
23,sxk9s7,41.57738095238095,358,26814,41.0641479492188,29.0203857421875,159.60714285714286,69.89179281693306,3830.5714285714284,0.43789890330316955,0.6954591854147607,0.33767068070741163,0.28917811423842027,0.48459169679573066,0.47900024544132586,0.8431174061100547,0.011704607822027351,0.38554111791746615
24,sxk9mh,39.220238095238095,337,27351,41.0256958007813,29.0533447265625,162.80357142857142,86.98483995719083,3907.285714285714,0.5342931926700413,0.6517659106990875,0.3444349271930266,0.26626703929445306,0.4106447067568438,0.4744662931595462,0.22243688011546442,0.002866913113869046,0.38014641715041075
25,sxk9s4,31.291666666666668,321,22502,41.0586547851563,29.0093994140625,133.9404761904762,69.63993815762785,3214.5714285714284,0.5199319887296299,0.6579241751703688,0.2833551670277623,0.18920251448292683,0.42106702287935954,0.469130233744875,0.3345686921892616,0.004463526316116407,0.3761968922591233
26,sxk9s0,26.416666666666668,183,15609,41.0476684570313,29.0093994140625,92.91071428571429,33.458139071762844,2229.8571428571427,0.3601106646162892,0.735234290867146,0.19652844258578117,0.14181824584881272,0.5519075330616756,0.46610025415058187,0.7875111682123737,0.010912846305711934,0.3750627725816079
27,sxk8y9,27.0,1,2,40.9213256835938,29.1192626953125,1.0,0.0,1.0,0.0,1.0,0.0,0.14748815833494602,0.9999999999983076,0.4557535524991777,1.240114867161012,0.0173573425442263,0.36807431050818745
28,sxkdk9,30.0,1,1,41.1849975585938,29.0313720703125,1.0,0.0,1.0,0.0,1.0,0.0,0.17664770826363163,0.9999999999983076,0.447005687520572,0.8536515126574439,0.011854599989962468,0.3599754700144501
29,sxk9pq,39.266666666666666,1079,20893,40.9927368164063,29.1522216796875,696.4333333333333,330.2933579393485,2984.714285714286,0.47426414292663704,0.6783044984156292,0.2630876202952587,0.26671831804334933,0.45555891138653903,0.44264009701193235,0.7360942825161693,0.010180735792176527,0.3561482247679812
30,sxk9tz,43.86904761904762,340,24402,41.0861206054688,29.0863037109375,145.25,81.93664486940561,3486.0,0.5641077099403891,0.6393421588837458,0.3072882551519121,0.3114527704339441,0.3896186093147784,0.4381320183087285,0.7377034665753865,0.010203648509506925,0.3525463443488842
31,sxk452,34.333333333333336,1,3,41.1355590820313,28.2733154296875,1.0,0.0,1.0,0.0,1.0,0.0,0.21876705816062195,0.9999999999983076,0.4343698825514749,36.716372926805015,0.5224937613428835,0.45199465830975666
32,sxk9st,27.172619047619047,231,16923,41.0751342773438,29.0313720703125,100.73214285714286,61.25498617996427,2417.5714285714284,0.6080977177883257,0.6218527574153491,0.21308006247795633,0.14916598958084262,0.360019349369501,0.4337941042386255,1.485930341862503,0.020857439661775824,0.3512067713232556
33,sxk3tr,36.0,1,2,41.0861206054688,28.7127685546875,1.0,0.0,1.0,0.0,1.0,0.0,0.23496680812100282,0.9999999999983076,0.4295099575633607,6.060530937669411,0.0859938855212886,0.36080674315494626
34,sxk9ks,23.738095238095237,181,13235,41.0256958007813,29.0313720703125,78.7797619047619,43.74482697837678,1890.7142857142858,0.5552800099942585,0.6429710364525881,0.16662467879276463,0.11578293341248627,0.3957601625671206,0.4277294918860606,1.0219421662237052,0.014250843075037142,0.3450337621238559
35,sxk9ke,27.50595238095238,225,14997,41.0202026367188,29.0313720703125,89.26785714285714,51.61342642178908,2142.4285714285716,0.578186013120186,0.6336388687306441,0.18881946893737087,0.15240593957291879,0.3799662968505673,0.42468121196692327,0.41944366670003674,0.0056720371065701195,0.34087937699485266
36,sxk3xd,40.69565217391305,1138,15530,41.0586547851563,28.8116455078125,675.2173913043479,255.1158304702429,2218.5714285714284,0.3778276948362458,0.7257801565085027,0.1955333299743034,0.280607842791989,0.5359072496360408,0.4207657620767631,0.747582364519589,0.01034431134719466,0.3386814719308494
37,sxk1ry,41.0,1,1,41.0366821289063,28.4710693359375,1.0,0.0,1.0,0.0,1.0,0.0,0.2835660580021455,0.9999999999983076,0.41493018259901787,17.687704908117713,0.2515499317735961,0.3822541324339335
38,sxk97w,19.91304347826087,176,2441,41.0366821289063,28.9874267578125,106.1304347826087,31.65338463566385,348.7142857142857,0.2982498347453539,0.7702677660622584,0.030659545523252882,0.0786040041555873,0.6111985808977237,0.413988287694495,0.8335370224369735,0.01156819544473544,0.33350426924454313
39,sxk9eg,36.6578947368421,623,13078,41.0641479492188,28.9984130859375,344.1578947368421,137.88960063404218,1868.2857142857142,0.40065796177384755,0.7139501771964094,0.16464704993197962,0.24136144626325842,0.515886059463316,0.4130923029796755,0.8095924469426861,0.011227255397042038,0.3327192934631488
40,sxk9kk,20.035714285714285,110,8582,41.0256958007813,29.0203857421875,51.083333333333336,27.042086663159047,1226.0,0.5293720064462579,0.6538631515321515,0.10801380561293897,0.07979634600049729,0.4141941007539958,0.41290681915711946,1.3068379749194023,0.01830739403070284,0.33398693413183617
41,sxk9n6,26.4375,437,7465,40.9707641601563,29.1082763671875,233.28125,89.00425302451345,1066.4285714285713,0.3815319620592393,0.7238341402608249,0.09394366906837304,0.14202074272331747,0.5326137898297214,0.4108883696831356,0.6002428102077267,0.008246385047094022,0.33035997275592727
42,sxk6q1,20.11111111111111,115,1209,41.1849975585938,28.7457275390625,67.16666666666667,18.73106887437208,172.71428571428572,0.27887447455225617,0.7819375708081966,0.015140827329067364,0.08052919183203834,0.6309486898314012,0.40960139408120244,6.52953546463365,0.0926719085177605,0.34621549696851406
43,sxk9s2,24.74404761904762,90,7414,41.0476684570313,29.0203857421875,44.13095238095238,18.435048474609232,1059.142857142857,0.41773511514218664,0.7053503784447834,0.09330125459767218,0.12556063963857333,0.5013316632373265,0.4092487680547294,1.4979297816720483,0.02102829629617039,0.33160467370301755
44,sxk92d,17.3,143,1855,41.0147094726563,28.8555908203125,92.75,34.630189141845584,309.1666666666667,0.3733713114983527,0.728135203952234,0.02717245259569036,0.05320561356552925,0.5398929584435391,0.40560313391689423,1.1286866767456445,0.015770748012046417,0.3276366567359247
45,sxk8zh,38.32258064516129,661,11646,40.9378051757813,29.1412353515625,375.6774193548387,137.03196393464174,1663.7142857142858,0.3647596498336413,0.7327297521742352,0.14660905930367307,0.25754194354966264,0.5476688235810551,0.40557571130314873,0.049069070243529654,0.00039837783412104393,0.3245402446093432
46,sxk3k2,37.766666666666666,1031,13907,41.0037231445313,28.6688232421875,463.56666666666666,215.32616531964797,1986.7142857142858,0.4644988106403613,0.6828274579224436,0.1750894341714113,0.25213854307900657,0.46321361897650865,0.4045458779573054,1.2372740350899225,0.017316892738714514,0.3271000809135873
47,sxk3js,34.87096774193548,660,11701,40.9817504882813,28.7237548828125,377.4516129032258,162.83280560330942,1671.5714285714287,0.43140047634298084,0.6986165063706378,0.14730185922305636,0.22399278395429315,0.48993518232738525,0.4044401308907173,1.7771059864911511,0.025003407427649657,0.3285527861981038
48,sxk9sw,23.613095238095237,184,12357,41.0806274414063,29.0313720703125,73.55357142857143,51.62540790792395,1765.2857142857142,0.7018749314893022,0.5875872436318836,0.15556507280697332,0.1145679521654577,0.30202800807243063,0.4038177523683355,1.1602792120099823,0.016220585198859296,0.3262983189344403
49,sxk973,11.826086956521738,42,492,41.0092163085938,28.9764404296875,21.391304347826086,9.044029323435547,70.28571428571429,0.4227899886774256,0.7028444169259049,0.006109235652743487,0.0,0.4970905457500197,0.40247272697637565,0.7519698245698041,0.010406783151680402,0.3240595382114366
50,sxk9sd,26.095238095238095,81,6899,41.0586547851563,29.0313720703125,41.06547619047619,17.419151096468095,985.5714285714286,0.424179936822058,0.702158466177679,0.08681412807981054,0.13869400835645354,0.49592963498111275,0.4009847885291917,1.734539654881617,0.024397317454054174,0.3256672943141642
51,sxk9e9,18.8,158,2254,41.05316162109379,28.9874267578125,90.16,34.27302146003472,322.0,0.38013555301302776,0.7245665092945842,0.02830402579734972,0.06778538852987205,0.5338532594276538,0.400587048225244,0.5309680994148986,0.007260002005670374,0.3219216389813293
